nodes,rels,k,s,eps,pb,averagedTime
101,0,1,1.9999750006249843,0.1,9999,2.176220655441284
201,0,1,1.9999750006249843,0.1,9998,2.1555495262145996
301,0,1,1.9999750006249843,0.1,9997,2.162471055984497
401,0,1,1.9999750006249843,0.1,9996,2.1223886013031006
501,0,1,1.9999750006249843,0.1,9995,2.1498470306396484
601,0,1,1.9999750006249843,0.1,9994,2.1763627529144287
701,0,1,1.9999750006249843,0.1,9993,2.1512718200683594
801,0,1,1.9999750006249843,0.1,9992,2.1774134635925293
901,0,1,1.9999750006249843,0.1,9991,2.175379753112793
1001,0,1,1.9999750006249843,0.1,9990,2.1639957427978516
1101,0,1,1.9999750006249843,0.1,9989,2.1764676570892334
1201,0,1,1.9999750006249843,0.1,9988,2.1678409576416016
1301,0,1,1.9999750006249843,0.1,9987,2.17391037940979
1401,0,1,1.9999750006249843,0.1,9986,2.133063554763794
1501,0,1,1.9999750006249843,0.1,9985,2.1740386486053467
1601,0,1,1.9999750006249843,0.1,9984,2.173945188522339
1701,0,1,1.9999750006249843,0.1,9983,2.1836276054382324
1801,0,1,1.9999750006249843,0.1,9982,2.171452760696411
1901,0,1,1.9999750006249843,0.1,9981,2.146108865737915
2001,0,1,1.9999750006249843,0.1,9980,2.1574859619140625
2101,0,1,1.9999750006249843,0.1,9979,2.166508674621582
2201,0,1,1.9999750006249843,0.1,9978,2.1861259937286377
2301,0,1,1.9999750006249843,0.1,9977,2.175875663757324
2401,0,1,1.9999750006249843,0.1,9976,2.1693179607391357
2501,0,1,1.9999750006249843,0.1,9975,2.1662487983703613
2601,0,1,1.9999750006249843,0.1,9974,2.203925371170044
2701,0,1,1.9999750006249843,0.1,9973,2.157634973526001
2801,0,1,1.9999750006249843,0.1,9972,2.1893720626831055
2901,0,1,1.9999750006249843,0.1,9971,2.153754949569702
3001,0,1,1.9999750006249843,0.1,9970,2.166724681854248
3101,0,1,1.9999750006249843,0.1,9969,2.2017102241516113
3201,0,1,1.9999750006249843,0.1,9968,2.1541106700897217
3301,0,1,1.9999750006249843,0.1,9967,2.1863925457000732
3401,0,1,1.9999750006249843,0.1,9966,2.1535935401916504
3501,0,1,1.9999750006249843,0.1,9965,2.1507327556610107
3601,0,1,1.9999750006249843,0.1,9964,2.184878349304199
